Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
213233,Better: A Surgeon's Notes on Performance,Atul Gawande,"Gawande, Atul",,"=""0805082115""","=""9780805082111""",0,4.20,Metropolitan Books,Hardcover,288,2007,2007,,2018/01/29,to-read,to-read (#525),to-read,,,,0,,,0,,,,,
6667514,The Checklist Manifesto: How to Get Things Right,Atul Gawande,"Gawande, Atul",,"=""0805091742""","=""9780805091748""",0,4.03,Metropolitan Books,Hardcover,208,2009,2009,,2018/01/29,to-read,to-read (#524),to-read,,,,0,,,0,,,,,
13330769,The Victory Lab: The Secret Science of Winning Campaigns,Sasha Issenberg,"Issenberg, Sasha",,"=""030795479X""","=""9780307954794""",0,3.78,Crown,Hardcover,368,2012,2012,,2018/01/29,to-read,to-read (#523),to-read,,,,0,,,0,,,,,
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.","Norman Doidge, Ethan Van Sciver","=""0345816021""","=""9780345816023""",0,4.28,Random House Canada,Hardcover,409,2018,2018,,2018/01/29,to-read,to-read (#522),to-read,,,,0,,,0,,,,,
25733983,Lab Girl,Hope Jahren,"Jahren, Hope",,"=""1101874937""","=""9781101874936""",0,4.04,Knopf,Hardcover,290,2016,2016,,2018/01/14,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
36529,Narrative of the Life of Frederick Douglass,Frederick Douglass,"Douglass, Frederick",,"=""1580495761""","=""9781580495769""",0,3.97,Ingram,Paperback,158,2004,1845,2018/01/14,2018/01/13,,,read,,,,1,,,0,,,,,
22535480,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301268""","=""9780062301260""",0,4.27,Ecco,ebook,416,2015,2015,,2015/05/24,to-read,to-read (#152),to-read,,,,0,,,0,,,,,
29987997,Python for Everybody: Exploring Data in Python 3,Charles Russell Severance,"Severance, Charles Russell",,"=""1530051126""","=""9781530051120""",0,4.31,Createspace Independent Publishing Platform,Paperback,242,2016,,2017/07/19,2018/01/13,,,read,,,,1,,,0,,,,,
33606119,Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,"Eddo-Lodge, Reni",,"=""140887055X""","=""9781408870556""",0,4.42,Bloomsbury Circus,Hardcover,249,2017,2017,,2018/01/13,to-read,to-read (#521),to-read,,,,0,,,0,,,,,
13086,Suburban Nation: The Rise of Sprawl and the Decline of the American Dream,Andrés Duany,"Duany, Andrés","Elizabeth Plater-Zyberk, Jeff Speck","=""0865476063""","=""9780865476066""",0,4.07,North Point Press,Paperback,320,2001,2000,,2018/01/13,to-read,to-read (#520),to-read,,,,0,,,0,,,,,
30833,The Death and Life of Great American Cities,Jane Jacobs,"Jacobs, Jane",,"=""0375508732""","=""9780375508738""",5,4.32,Random House,Hardcover,472,2002,1961,2018/01/13,2016/04/24,,,read,,,,1,,,0,,,,,
16619,Democracy in America,Alexis de Tocqueville,"Tocqueville, Alexis de","Isaac Kramnick, Gerald Bevan","=""0140447601""","=""9780140447606""",0,4.00,Penguin Classics,Paperback,992,2003,1840,,2018/01/11,to-read,to-read (#519),to-read,,,,0,,,0,,,,,
12679582,Charles Taylor and Liberia: Ambition and Atrocity in Africa's Lone Star State,Colin M. Waugh,"Waugh, Colin M.",,"=""1848138474""","=""9781848138476""",0,3.56,Zed Books,Paperback,384,2011,2011,,2018/01/09,to-read,to-read (#518),to-read,,,,0,,,0,,,,,
618352,The Mask of Anarchy Updated Edition: The Destruction of Liberia and the Religious Dimension of an African Civil War,Stephen Ellis,"Ellis, Stephen",,"=""0814722385""","=""9780814722381""",0,3.98,New York University Press,Paperback,350,2006,1999,,2018/01/09,to-read,to-read (#517),to-read,,,,0,,,0,,,,,
18490674,Another America: The Story of Liberia and the Former Slaves Who Ruled It,James Ciment,"Ciment, James",,"=""0809026953""","=""9780809026951""",0,3.54,Hill and Wang,Paperback,336,2014,2013,,2018/01/09,to-read,to-read (#516),to-read,,,,0,,,0,,,,,
406373,Faust,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Walter Kaufmann,"=""0385031149""","=""9780385031141""",0,3.97,Anchor Books,Paperback,503,1998,1832,,2018/01/08,to-read,to-read (#515),to-read,,,,0,,,0,,,,,
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Malcolm Bowie, Margaret Mauldon, Mark Overstall","=""0192840398""","=""9780192840394""",0,3.65,Oxford University Press,Paperback,329,2004,1856,,2018/01/08,to-read,to-read (#514),to-read,,,,0,,,0,,,,,
